epoch;categorical_accuracy;loss;val_categorical_accuracy;val_loss
0;0.980652510358;0.0510896816279;0.998338789478;0.00567801925279
1;0.984728766971;0.0382779393268;0.998395764536;0.0043643996302
2;0.98634923957;0.0337737211277;0.99831689407;0.00480051743138
3;0.987513815169;0.0307984678856;0.997453500161;0.00706936298603
4;0.98850693794;0.028316798684;0.998663107808;0.00388518335616
5;0.989706584745;0.0252703637152;0.99869816029;0.00356797470351
6;0.990565775181;0.0231367357252;0.998549166452;0.00412892615436
7;0.990962730828;0.0224784070066;0.99876390999;0.00405734533127
8;0.991807791655;0.0204350731174;0.998636819303;0.00438985023119
9;0.992707402054;0.0180618889095;0.997979430218;0.00583056415182
10;0.993457488068;0.0163976441056;0.998452757113;0.00549346161932
11;0.994150096241;0.0147977225079;0.998470281133;0.00596174426378
12;0.991297344291;0.0216277719991;0.998798970216;0.00354242940677
13;0.991704537137;0.0207315280307;0.998873491003;0.00320762915178
14;0.99186185718;0.0203173456792;0.998864717885;0.00332870610201
15;0.992028915045;0.0199239632611;0.998873478688;0.003548598807
16;0.992156529182;0.0196163653091;0.998926063823;0.00324400361413
17;0.992282192056;0.0192982878085;0.998720098735;0.004031414049
18;0.992453154995;0.0189252463942;0.998728847351;0.00400299891416
