epoch;categorical_accuracy;loss;val_categorical_accuracy;val_loss
0;0.98203957019;0.0459440664094;0.99862496637;0.00388141868309
1;0.986298806435;0.0340646062809;0.999157323746;0.00252523364692
2;0.98781970327;0.0297418903159;0.998740693582;0.00376110527799
3;0.989271165915;0.0263132065574;0.99898140999;0.00317626120693
4;0.99034768185;0.0237156687591;0.998898089535;0.00333372494932
5;0.991208165269;0.021641024944;0.998662011696;0.00416957991509
6;0.99238446534;0.0189934275405;0.998504609305;0.00469027361477
7;0.992097978092;0.019999552628;0.998962887897;0.00357159763594
8;0.988220888046;0.0291249060423;0.998972153838;0.00298331726542
9;0.98851509325;0.0283337200219;0.998972147871;0.00287578539609
10;0.988708997656;0.0278269104522;0.998888829562;0.00321681235902
11;0.98888438648;0.027305446888;0.998879576024;0.00326662660467
12;0.989077775058;0.0268465636901;0.998999934229;0.00296515297189
13;0.98928608564;0.0263839709824;0.998888835998;0.00335602467798
14;0.98949542198;0.0259214340792;0.998962894333;0.00315541818109
