epoch;categorical_accuracy;loss;val_categorical_accuracy;val_loss
0;0.978893301557;0.0555365854515;0.99822527583;0.00618057056706
1;0.983221756636;0.0424221349934;0.998867462326;0.00422882499166
2;0.985240525138;0.036815265989;0.998947253958;0.00307938440653
3;0.986490792094;0.0333546347581;0.998916849095;0.00329304084101
4;0.98778920649;0.0300257963467;0.998726855134;0.00345660868796
5;0.988663683651;0.0277109847379;0.998764850646;0.00343994606298
6;0.989863288334;0.0249992929746;0.99882945311;0.00339446325621
7;0.990570973817;0.0233398938508;0.999361443938;0.00166376553253
8;0.991458956818;0.0210752543402;0.999323438519;0.00188627566093
9;0.992238852686;0.0191693229292;0.998730661246;0.00348013879762
10;0.992962583878;0.0174974620915;0.998810462124;0.00383478699074
11;0.993536842107;0.0160750096468;0.998339277665;0.00450943948648
12;0.993344294494;0.0167615612077;0.999513437488;0.00152225811977
13;0.994570499533;0.0136791580929;0.999304441864;0.00226008748518
14;0.995259187781;0.0121571831734;0.999122040864;0.00266642674767
15;0.995556450541;0.0113047843473;0.999657831474;0.000948248945128
16;0.99507001657;0.0130093859916;0.999289237671;0.00242231516631
17;0.996377724117;0.00943776069118;0.999076451181;0.00338692084713
18;0.996810950184;0.00844611551134;0.997218310338;0.00953489607956
19;0.997084564419;0.00777149835267;0.999133455016;0.00411560099404
20;0.997127635191;0.00756967720695;0.998913049808;0.003667188734
21;0.997099765928;0.00781510297607;0.999156232246;0.00306231667833
22;0.996988288509;0.00839112391216;0.999559036803;0.00144263819394
23;0.997370847926;0.00757839482432;0.999540032002;0.00150391767368
24;0.997485275707;0.00724746889113;0.999547634979;0.00151847827582
25;0.997590839056;0.00698429754391;0.999524834854;0.00161457939009
26;0.997692600428;0.00675034183335;0.999490636428;0.00170560206184
27;0.997786764942;0.00652625058045;0.999471640433;0.00189702989359
