epoch;categorical_accuracy;loss;val_categorical_accuracy;val_loss
0;0.975041551211;0.0637584326561;0.996600233154;0.0095564401062
1;0.981173650557;0.0465447446998;0.997148540879;0.00759708333818
2;0.982955097009;0.0413689055399;0.994793687512;0.0125230993307
3;0.98455756623;0.0374691119294;0.997852719516;0.00567704357656
4;0.986051622621;0.0338942922181;0.997904660491;0.00523648990467
5;0.987042738717;0.0314351497484;0.996900369041;0.00811479227855
6;0.988348192929;0.0284143102893;0.998089352714;0.00541465367134
7;0.98944002467;0.0259505904279;0.998135543388;0.00525102918696
8;0.99039072602;0.0238316756453;0.998377937087;0.00483569485229
9;0.991537732866;0.0210792019673;0.997546799805;0.00727248286468
10;0.992299187137;0.0193948533151;0.998504931011;0.00433829075397
11;0.992631497247;0.0184664446312;0.997552572093;0.00696172217772
12;0.993667510637;0.016135868046;0.99756412252;0.00829797682808
13;0.994344941323;0.0145958940216;0.997489096573;0.00813219121685
14;0.994929339601;0.0133248191759;0.997696857299;0.00977618523924
15;0.995429711935;0.0119618879609;0.99856262212;0.00543657761083
16;0.996093668077;0.0105191481289;0.998372168143;0.00636207574109
17;0.993901012024;0.0159593068075;0.998279815553;0.00496653398645
18;0.994421916814;0.0149086332464;0.998424105273;0.00458059238458
19;0.994615654739;0.0144651769325;0.998545330253;0.00439316826856
20;0.994759348232;0.014112873178;0.998672301355;0.00420525165237
21;0.994883157505;0.0138043555314;0.998487598849;0.0046631726678
22;0.995030700343;0.0134805682553;0.998608807778;0.00446828634173
23;0.995178888221;0.0131928611576;0.998574175139;0.00461113866553
24;0.995295642766;0.012902265469;0.998435661719;0.00529198242295
25;0.995430352125;0.0125997022557;0.998302909719;0.00586379253205
