epoch;categorical_accuracy;loss;val_categorical_accuracy;val_loss
0;0.983305181374;0.0448834933313;0.998728188406;0.00386333889085
1;0.986968650051;0.0327442683518;0.999633156406;0.0015133936746
2;0.988312648888;0.0289905045623;0.999473224771;0.00170762283966
3;0.98917106496;0.0266390801248;0.999711166852;0.000827797047156
4;0.989781501697;0.0250132439169;0.999449819863;0.00167880674683
5;0.990937767906;0.0221201909515;0.999637057883;0.000911220413676
6;0.991451954168;0.0208110059747;0.999504432294;0.00140011767717
7;0.992283933332;0.0187689605877;0.999547345604;0.00126880449152
8;0.992704906446;0.0177495300745;0.99956684977;0.00123255830178
9;0.993558124154;0.0157834383656;0.999648767738;0.00101563682406
10;0.990576189478;0.0230062386563;0.999555144604;0.00145281669198
11;0.990783859721;0.0224147177102;0.999469322277;0.00159232627492
12;0.990900053211;0.0220878802121;0.999539534402;0.00136624553337
13;0.991020144815;0.0217558010999;0.999457626094;0.00163699476654
14;0.991157577553;0.0214501140412;0.999566842933;0.00128895043223
